Planet,Mass (10^24kg),Diameter (km),Density (kg/m^3),Gravity (m/s^2),Escape Velocity (km/s),Rotation Period (hours),Length of Day (hours),Distance from Sun (AU),Perihelion (km),Aphelion (km),Orbital Period (years),Orbital Velocity (km/s),Orbital Inclination (deg),Orbital Eccentricity,Obliquity to Orbit (deg),Mean Temperature (C),Surface Pressure (bars),Number of Moons,Ring System?,Global Magnetic Field?,Semi-major Axis (km)
Mercury,0.33,4879,5429,3.7,4.3,1407.6,4222.6,0.38703759437934293 AU,46000000.0 km,69800000.0 km,0.24093601451310936 yr,47.4,7.0,0.206,0.034,167,0.0,0,No,Yes,57900000.0 km
Venus,4.87,12104,5243,8.9,10.4,-5832.5,2802.0,0.7232723266294457 AU,107500000.0 km,108900000.0 km,0.6152082097851781 yr,35.0,3.4,0.007,177.4,464,92.0,0,No,No,108200000.0 km
Earth,5.97,12756,5514,9.8,11.2,23.9,24.0,1.0000142334913593 AU,147100000.0 km,152100000.0 km,0.9998844602294038 yr,29.8,0.0,0.017,23.4,15,1.0,1,No,Yes,149600000.0 km
Moon,0.073,3475,3340,1.6,2.4,655.7,708.7,0.002566881454951083 AU,363000.0 km,406000.0 km,0.07474492268418052 yr,1.0,5.1,0.055,6.7,-20,0.0,0,No,No,384500.0 km
Mars,0.642,6792,3934,3.7,5.0,24.6,24.7,1.5240858638772055 AU,206700000.0 km,249300000.0 km,1.8809436587557515 yr,24.1,1.8,0.094,25.2,-65,0.01,2,No,No,228000000.0 km
Jupiter,1898.0,142984,1326,23.1,59.5,9.9,9.9,5.2039510746859845 AU,740600000.0 km,816400000.0 km,11.857884987003143 yr,13.1,1.3,0.049,3.1,-110,,95,Yes,Yes,778500000.0 km
Saturn,568.0,120536,687,9.0,35.5,10.7,10.7,9.572328759088412 AU,1357600000.0 km,1506500000.0 km,29.42431077241348 yr,9.7,2.5,0.052,26.7,-140,,274,Yes,Yes,1432050000.0 km
Uranus,86.8,51118,1270,8.7,21.3,-17.2,17.2,19.16471127954363 AU,2732700000.0 km,3001400000.0 km,83.74990622660798 yr,6.8,0.8,0.047,97.8,-195,,28,Yes,Yes,2867050000.0 km
Neptune,102.0,49528,1638,11.0,23.5,16.1,16.1,30.18091085704203 AU,4471100000.0 km,4558900000.0 km,163.72697349868113 yr,5.4,1.8,0.01,28.3,-200,,16,Yes,Yes,4515000000.0 km
Pluto,0.013,2376,1850,0.7,1.3,-153.3,153.3,39.48184537896634 AU,4436800000.0 km,7375900000.0 km,247.94506220803618 yr,4.7,17.2,0.244,119.5,-225,1e-05,5,No,Unknown,5906350000.0 km
